epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1079.43,2.17625,2.055,1.02798,0.40173,0.29458,0.26123,0.12806,2.01535,1.81236,0.98851,0.000663082,0.000663082,0.000663082
2,2262.3,2.07495,1.60607,1.01242,0.44965,0.2949,0.27492,0.13119,2.08452,2.17126,1.0155,0.00126393,0.00126393,0.00126393
